,RouteID,FromStop,ToStop,Departure,Arrival,TravelTimeMin
128,CR-Fitchburg,North Station,Waltham,2016-04-28 17:51:30,2016-04-28 18:17:32,26.033333333333335
129,CR-Fitchburg,North Station,Waltham,2016-04-29 17:39:49,2016-04-29 17:49:49,10.0
130,CR-Fitchburg,North Station,Waltham,2016-04-29 17:51:51,2016-04-29 18:15:52,24.016666666666666
131,CR-Fitchburg,North Station,Waltham,2016-04-30 18:03:44,2016-04-30 18:24:16,20.533333333333335
132,CR-Fitchburg,North Station,Waltham,2016-05-03 17:07:39,2016-05-03 17:28:11,20.533333333333335
133,CR-Fitchburg,North Station,Waltham,2016-05-03 17:35:06,2016-05-03 17:53:37,18.516666666666666
134,CR-Fitchburg,North Station,Waltham,2016-05-03 18:23:03,2016-05-03 18:43:34,20.516666666666666
135,CR-Fitchburg,North Station,Waltham,2016-05-03 19:54:09,2016-05-03 20:14:41,20.533333333333335
136,CR-Fitchburg,North Station,Waltham,2016-05-04 19:52:34,2016-05-04 20:13:13,20.65
137,CR-Fitchburg,North Station,Waltham,2016-05-04 20:51:06,2016-05-04 21:08:07,17.016666666666666
138,CR-Fitchburg,North Station,Waltham,2016-05-05 17:32:39,2016-05-05 17:51:41,19.033333333333335
139,CR-Fitchburg,North Station,Waltham,2016-05-05 18:23:59,2016-05-05 18:43:00,19.016666666666666
140,CR-Fitchburg,North Station,Waltham,2016-05-06 17:32:55,2016-05-06 17:51:57,19.033333333333335
141,CR-Fitchburg,North Station,Waltham,2016-05-07 18:01:51,2016-05-07 18:22:25,20.566666666666666
142,CR-Fitchburg,North Station,Waltham,2016-05-08 18:02:35,2016-05-08 18:21:07,18.533333333333335
143,CR-Fitchburg,North Station,Waltham,2016-05-09 17:36:35,2016-05-09 17:54:06,17.516666666666666
144,CR-Fitchburg,North Station,Waltham,2016-05-09 18:23:19,2016-05-09 18:43:53,20.566666666666666
145,CR-Fitchburg,North Station,Waltham,2016-05-10 19:53:57,2016-05-10 20:12:58,19.016666666666666
146,CR-Fitchburg,North Station,Waltham,2016-05-11 19:56:03,2016-05-11 20:13:04,17.016666666666666
147,CR-Fitchburg,North Station,Waltham,2016-05-11 20:52:44,2016-05-11 21:11:15,18.516666666666666
148,CR-Fitchburg,North Station,Waltham,2016-05-12 17:56:34,2016-05-12 18:13:36,17.033333333333335
149,CR-Fitchburg,North Station,Waltham,2016-05-12 20:51:27,2016-05-12 21:08:59,17.533333333333335
150,CR-Fitchburg,North Station,Waltham,2016-05-13 19:53:46,2016-05-13 20:12:35,18.816666666666666
151,CR-Fitchburg,North Station,Waltham,2016-05-13 20:48:32,2016-05-13 21:09:04,20.533333333333335
152,CR-Fitchburg,North Station,Waltham,2016-05-14 18:02:04,2016-05-14 18:22:36,20.533333333333335
153,CR-Fitchburg,North Station,Waltham,2016-05-16 19:52:23,2016-05-16 20:13:24,21.016666666666666
154,CR-Fitchburg,North Station,Waltham,2016-05-17 19:54:00,2016-05-17 20:14:33,20.55
155,CR-Fitchburg,North Station,Waltham,2016-05-17 20:50:34,2016-05-17 21:11:07,20.55
156,CR-Fitchburg,North Station,Waltham,2016-05-18 17:54:26,2016-05-18 18:13:27,19.016666666666666
157,CR-Fitchburg,North Station,Waltham,2016-05-18 19:52:58,2016-05-18 20:13:29,20.516666666666666
158,CR-Fitchburg,North Station,Waltham,2016-05-19 17:33:48,2016-05-19 17:52:36,18.8
159,CR-Fitchburg,North Station,Waltham,2016-05-19 19:53:10,2016-05-19 20:13:11,20.016666666666666
160,CR-Fitchburg,North Station,Waltham,2016-05-19 20:49:45,2016-05-19 21:11:46,22.016666666666666
161,CR-Fitchburg,North Station,Waltham,2016-05-20 17:52:15,2016-05-20 18:12:48,20.55
162,CR-Fitchburg,North Station,Waltham,2016-05-24 17:02:44,2016-05-24 17:23:15,20.516666666666666
163,CR-Fitchburg,North Station,Waltham,2016-05-24 17:57:37,2016-05-24 18:20:09,22.533333333333335
164,CR-Fitchburg,North Station,Waltham,2016-05-24 20:48:04,2016-05-24 21:08:36,20.533333333333335
165,CR-Fitchburg,North Station,Waltham,2016-05-25 17:56:44,2016-05-25 18:17:14,20.5
166,CR-Fitchburg,North Station,Waltham,2016-05-25 20:49:00,2016-05-25 21:09:31,20.516666666666666
167,CR-Fitchburg,North Station,Waltham,2016-05-26 20:47:39,2016-05-26 21:08:10,20.516666666666666
168,CR-Fitchburg,North Station,Waltham,2016-05-27 17:01:43,2016-05-27 17:24:01,22.3
169,CR-Fitchburg,North Station,Waltham,2016-05-27 20:50:03,2016-05-27 21:09:06,19.05
170,CR-Fitchburg,North Station,Waltham,2016-05-31 17:02:34,2016-05-31 17:25:06,22.533333333333335
171,CR-Fitchburg,North Station,Waltham,2016-05-31 18:27:00,2016-05-31 18:49:31,22.516666666666666
172,CR-Fitchburg,North Station,Waltham,2016-05-31 19:16:57,2016-05-31 19:37:28,20.516666666666666
173,CR-Fitchburg,North Station,Waltham,2016-05-31 20:49:24,2016-05-31 21:08:25,19.016666666666666
174,CR-Fitchburg,North Station,Waltham,2016-06-02 17:03:17,2016-06-02 17:23:49,20.533333333333335
175,CR-Fitchburg,North Station,Waltham,2016-06-02 20:48:03,2016-06-02 21:09:05,21.033333333333335
176,CR-Fitchburg,North Station,Waltham,2016-06-03 17:01:47,2016-06-03 17:22:13,20.433333333333334
177,CR-Fitchburg,North Station,Waltham,2016-06-03 18:27:40,2016-06-03 18:48:12,20.533333333333335
178,CR-Fitchburg,North Station,Waltham,2016-06-03 19:19:00,2016-06-03 19:38:03,19.05
179,CR-Fitchburg,North Station,Waltham,2016-06-06 19:18:36,2016-06-06 19:39:15,20.65
180,CR-Fitchburg,North Station,Waltham,2016-06-06 20:46:09,2016-06-06 21:08:29,22.333333333333332
181,CR-Fitchburg,North Station,Waltham,2016-06-07 17:38:34,2016-06-07 17:59:22,20.8
182,CR-Fitchburg,North Station,Waltham,2016-06-09 17:57:23,2016-06-09 18:19:55,22.533333333333335
183,CR-Fitchburg,North Station,Waltham,2016-06-09 18:26:37,2016-06-09 18:49:09,22.533333333333335
184,CR-Fitchburg,North Station,Waltham,2016-06-09 21:04:26,2016-06-09 21:09:35,5.15
185,CR-Fitchburg,North Station,Waltham,2016-06-10 17:04:15,2016-06-10 17:22:47,18.533333333333335
186,CR-Fitchburg,North Station,Waltham,2016-06-14 17:02:01,2016-06-14 17:24:03,22.033333333333335
187,CR-Fitchburg,North Station,Waltham,2016-06-14 18:26:21,2016-06-14 18:48:23,22.033333333333335
188,CR-Fitchburg,North Station,Waltham,2016-06-15 17:00:49,2016-06-15 17:26:20,25.516666666666666
189,CR-Fitchburg,North Station,Waltham,2016-06-15 18:13:34,2016-06-15 18:33:38,20.066666666666666
190,CR-Fitchburg,North Station,Waltham,2016-06-15 19:16:21,2016-06-15 19:36:52,20.516666666666666
191,CR-Fitchburg,North Station,Waltham,2016-06-17 18:28:18,2016-06-17 18:48:50,20.533333333333335
192,CR-Fitchburg,North Station,Waltham,2016-06-17 19:16:19,2016-06-17 19:36:51,20.533333333333335
193,CR-Fitchburg,North Station,Waltham,2016-06-17 20:47:37,2016-06-17 21:08:08,20.516666666666666
